================ Training Loss (Fri Feb  1 06:04:15 2019) ================
(epoch: 175, iters: 8, time: 1.391, data: 0.002) D_A: 0.225 G_A: 0.314 cycle_A: 0.869 idt_A: 0.249 D_B: 0.215 G_B: 0.443 cycle_B: 0.510 idt_B: 0.364 
(epoch: 188, iters: 4, time: 1.383, data: 0.257) D_A: 0.258 G_A: 0.483 cycle_A: 0.730 idt_A: 0.155 D_B: 0.067 G_B: 0.468 cycle_B: 0.326 idt_B: 0.352 
(epoch: 200, iters: 8, time: 3.476, data: 0.005) D_A: 0.207 G_A: 0.250 cycle_A: 0.643 idt_A: 0.176 D_B: 0.124 G_B: 0.347 cycle_B: 0.376 idt_B: 0.221 
================ Training Loss (Fri Feb  1 08:33:08 2019) ================
================ Training Loss (Fri Feb  1 09:43:41 2019) ================
(epoch: 3, iters: 20, time: 1.384, data: 0.732) D_A: 0.728 G_A: 0.686 cycle_A: 2.065 idt_A: 0.900 D_B: 0.263 G_B: 0.356 cycle_B: 1.991 idt_B: 0.992 
(epoch: 5, iters: 40, time: 1.384, data: 0.002) D_A: 0.241 G_A: 0.286 cycle_A: 1.366 idt_A: 1.560 D_B: 0.262 G_B: 0.392 cycle_B: 4.244 idt_B: 0.558 
(epoch: 8, iters: 20, time: 1.386, data: 0.408) D_A: 0.151 G_A: 0.191 cycle_A: 1.943 idt_A: 1.237 D_B: 0.387 G_B: 0.650 cycle_B: 2.418 idt_B: 0.940 
(epoch: 10, iters: 40, time: 1.891, data: 0.002) D_A: 0.268 G_A: 0.403 cycle_A: 0.860 idt_A: 0.962 D_B: 0.225 G_B: 0.351 cycle_B: 2.446 idt_B: 0.384 
(epoch: 13, iters: 20, time: 1.384, data: 0.368) D_A: 0.278 G_A: 0.369 cycle_A: 1.275 idt_A: 0.371 D_B: 0.221 G_B: 0.298 cycle_B: 0.808 idt_B: 0.538 
(epoch: 15, iters: 40, time: 1.389, data: 0.002) D_A: 0.203 G_A: 0.278 cycle_A: 1.816 idt_A: 0.431 D_B: 0.182 G_B: 0.286 cycle_B: 1.118 idt_B: 0.705 
(epoch: 18, iters: 20, time: 1.387, data: 0.463) D_A: 0.255 G_A: 0.289 cycle_A: 1.701 idt_A: 0.762 D_B: 0.281 G_B: 0.125 cycle_B: 1.855 idt_B: 0.678 
(epoch: 20, iters: 40, time: 2.158, data: 0.002) D_A: 0.199 G_A: 0.583 cycle_A: 1.009 idt_A: 0.388 D_B: 0.160 G_B: 0.255 cycle_B: 0.898 idt_B: 0.388 
(epoch: 23, iters: 20, time: 1.395, data: 0.543) D_A: 0.314 G_A: 0.614 cycle_A: 0.926 idt_A: 0.250 D_B: 0.149 G_B: 0.538 cycle_B: 0.602 idt_B: 0.422 
(epoch: 25, iters: 40, time: 1.389, data: 0.002) D_A: 0.175 G_A: 0.478 cycle_A: 1.002 idt_A: 0.807 D_B: 0.140 G_B: 0.655 cycle_B: 2.655 idt_B: 0.414 
(epoch: 28, iters: 20, time: 1.394, data: 0.332) D_A: 0.088 G_A: 0.949 cycle_A: 1.068 idt_A: 0.791 D_B: 0.100 G_B: 0.683 cycle_B: 1.643 idt_B: 0.401 
(epoch: 30, iters: 40, time: 2.050, data: 0.002) D_A: 0.189 G_A: 0.309 cycle_A: 0.716 idt_A: 0.747 D_B: 0.232 G_B: 0.655 cycle_B: 2.064 idt_B: 0.310 
(epoch: 33, iters: 20, time: 1.389, data: 0.245) D_A: 0.198 G_A: 0.378 cycle_A: 0.581 idt_A: 0.606 D_B: 0.177 G_B: 0.506 cycle_B: 1.345 idt_B: 0.251 
(epoch: 35, iters: 40, time: 1.384, data: 0.002) D_A: 0.101 G_A: 0.617 cycle_A: 0.823 idt_A: 0.696 D_B: 0.181 G_B: 0.706 cycle_B: 1.482 idt_B: 0.326 
(epoch: 38, iters: 20, time: 1.384, data: 0.324) D_A: 0.277 G_A: 0.213 cycle_A: 1.147 idt_A: 0.427 D_B: 0.187 G_B: 0.239 cycle_B: 1.045 idt_B: 0.499 
(epoch: 40, iters: 40, time: 2.143, data: 0.002) D_A: 0.259 G_A: 0.264 cycle_A: 0.840 idt_A: 0.955 D_B: 0.254 G_B: 0.226 cycle_B: 1.900 idt_B: 0.259 
(epoch: 43, iters: 20, time: 1.381, data: 0.420) D_A: 0.120 G_A: 0.492 cycle_A: 1.178 idt_A: 0.311 D_B: 0.219 G_B: 0.370 cycle_B: 0.780 idt_B: 0.515 
(epoch: 45, iters: 40, time: 1.387, data: 0.002) D_A: 0.135 G_A: 0.416 cycle_A: 0.871 idt_A: 0.187 D_B: 0.102 G_B: 0.518 cycle_B: 0.412 idt_B: 0.243 
(epoch: 48, iters: 20, time: 1.385, data: 0.559) D_A: 0.194 G_A: 0.461 cycle_A: 0.802 idt_A: 0.504 D_B: 0.050 G_B: 0.649 cycle_B: 1.273 idt_B: 0.317 
(epoch: 50, iters: 40, time: 2.229, data: 0.002) D_A: 0.063 G_A: 0.707 cycle_A: 0.747 idt_A: 0.582 D_B: 0.130 G_B: 1.313 cycle_B: 1.385 idt_B: 0.357 
(epoch: 53, iters: 20, time: 1.385, data: 0.366) D_A: 0.264 G_A: 0.235 cycle_A: 2.507 idt_A: 0.866 D_B: 0.167 G_B: 0.337 cycle_B: 3.817 idt_B: 0.653 
(epoch: 55, iters: 40, time: 1.393, data: 0.002) D_A: 0.280 G_A: 0.747 cycle_A: 1.294 idt_A: 0.491 D_B: 0.101 G_B: 0.314 cycle_B: 1.277 idt_B: 0.510 
(epoch: 58, iters: 20, time: 1.394, data: 0.337) D_A: 0.170 G_A: 0.453 cycle_A: 0.959 idt_A: 0.589 D_B: 0.166 G_B: 0.361 cycle_B: 1.147 idt_B: 0.522 
(epoch: 60, iters: 40, time: 2.241, data: 0.002) D_A: 0.177 G_A: 0.292 cycle_A: 0.581 idt_A: 0.186 D_B: 0.260 G_B: 0.422 cycle_B: 0.456 idt_B: 0.282 
(epoch: 63, iters: 20, time: 1.391, data: 0.314) D_A: 0.168 G_A: 0.279 cycle_A: 0.786 idt_A: 0.988 D_B: 0.066 G_B: 0.630 cycle_B: 1.802 idt_B: 0.329 
(epoch: 65, iters: 40, time: 1.385, data: 0.002) D_A: 0.164 G_A: 0.753 cycle_A: 0.694 idt_A: 0.394 D_B: 0.111 G_B: 0.549 cycle_B: 1.062 idt_B: 0.305 
(epoch: 68, iters: 20, time: 1.381, data: 0.262) D_A: 0.246 G_A: 0.463 cycle_A: 0.518 idt_A: 0.464 D_B: 0.150 G_B: 0.369 cycle_B: 1.003 idt_B: 0.229 
(epoch: 70, iters: 40, time: 2.400, data: 0.002) D_A: 0.130 G_A: 0.354 cycle_A: 0.857 idt_A: 0.456 D_B: 0.164 G_B: 0.748 cycle_B: 1.065 idt_B: 0.333 
(epoch: 73, iters: 20, time: 1.392, data: 0.287) D_A: 0.142 G_A: 0.567 cycle_A: 1.954 idt_A: 0.442 D_B: 0.139 G_B: 0.732 cycle_B: 1.615 idt_B: 0.665 
(epoch: 75, iters: 40, time: 1.395, data: 0.002) D_A: 0.256 G_A: 0.616 cycle_A: 0.614 idt_A: 1.122 D_B: 0.222 G_B: 0.260 cycle_B: 2.545 idt_B: 0.233 
(epoch: 78, iters: 20, time: 1.391, data: 0.356) D_A: 0.321 G_A: 0.173 cycle_A: 0.976 idt_A: 0.728 D_B: 0.124 G_B: 1.087 cycle_B: 1.827 idt_B: 0.382 
(epoch: 80, iters: 40, time: 2.498, data: 0.002) D_A: 0.159 G_A: 0.386 cycle_A: 0.953 idt_A: 0.595 D_B: 0.203 G_B: 0.206 cycle_B: 1.544 idt_B: 0.430 
(epoch: 83, iters: 20, time: 1.380, data: 0.288) D_A: 0.084 G_A: 0.672 cycle_A: 0.829 idt_A: 0.616 D_B: 0.119 G_B: 0.604 cycle_B: 1.493 idt_B: 0.230 
(epoch: 85, iters: 40, time: 1.393, data: 0.002) D_A: 0.166 G_A: 0.382 cycle_A: 0.762 idt_A: 0.398 D_B: 0.087 G_B: 0.338 cycle_B: 1.201 idt_B: 0.361 
(epoch: 88, iters: 20, time: 1.387, data: 0.417) D_A: 0.120 G_A: 0.202 cycle_A: 0.867 idt_A: 1.050 D_B: 0.162 G_B: 0.462 cycle_B: 2.777 idt_B: 0.352 
(epoch: 90, iters: 40, time: 2.606, data: 0.002) D_A: 0.209 G_A: 0.705 cycle_A: 0.581 idt_A: 0.424 D_B: 0.201 G_B: 0.281 cycle_B: 1.215 idt_B: 0.250 
(epoch: 93, iters: 20, time: 1.397, data: 0.329) D_A: 0.176 G_A: 0.590 cycle_A: 0.979 idt_A: 0.898 D_B: 0.135 G_B: 0.382 cycle_B: 1.652 idt_B: 0.382 
